id,text,sentiment
"126301956951117826","@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN","positive"
"126107965991297024","Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad","positive"
"126008369562652672","Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)","positive"
"126183339945234432","@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX","positive"
"125922999651139584","One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)","positive"
"126352268705538048","Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”","positive"
"126287654093471745","At the bus with my iPhone ;) thxx @apple","positive"
"126256230397259776","@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA","positive"
"126360935509135362","RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!","positive"
"126180209501286400","Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI","positive"
"126318009647235072","RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z","positive"
"125974505385500672",".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear","positive"
"125925618486489088","Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)","positive"
"126112836219973632","#sweet... #apple replaced my glass #probono. thank you @apple","positive"
"126377656416612353","Great up close & personal event @Apple tonight in Regent St store!","positive"
"126315011600678913","When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

","positive"
"126059405941809152","Is it just me or is #iOS5 faster for the iPad? @apple","positive"
"126358340220616704","Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!","positive"
"126002597063696384","i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone","positive"
"126075534894571520","@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!","positive"
"126097426493878272","I'm loving this new IOS5 update :) @apple","positive"
"126063358037340161","Once again getting great customer service from the @apple store at millenia mall.","positive"
"126402758403305474","Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY","positive"
"125947912306954240","@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear it's still alive.","positive"
"126360398885687296","Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple","positive"
"126116898051076096","#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple","positive"
"126315223060709376","We're one of a few Featured Education Apps on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z","positive"
"126034495991328768","So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.","positive"
"126019393460244481","I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out","positive"
